"Pos.","Country (or dependent territory)","Area (km2)","Area (mi2)","Population","Density (pop./km2)","Density (pop./mi2)","Date","Population source"
"","World (land only, excluding Antarctica)","134,940,000","52,100,000","7,469,905,500","55","142","December 12, 2016","USCB's world population clock"
"","World (land only)","148,940,000","57,510,000","7,469,905,500","50","129","December 12, 2016","USCB's World population clock"
"","World (with water)","510,072,000","196,940,000","7,469,905,500","15","39","December 12, 2016","USCB's World population clock"
"1","Macau (China)","30.5","12","647,700","21,236","55,001","September 30, 2016","Official quarterly estimate"
"2","Monaco","2.02","0.78","38,400","19,010","49,236","December 31, 2015","Official estimate"
"3","Singapore","719.2","278","5,607,300","7,797","20,194","July 1, 2016","Official estimate"
"4","Hong Kong (China)","1,105.7","427","7,346,700","6,644","17,208","July 1, 2016","Official estimate"
"5","Gibraltar (UK)","6.8","2.6","29,873","4,268","11,054","March 21, 2016","Official estimate"
"6","Bahrain","757","292","1,472,483","1,945","5,038","March 21, 2016","Final 2010 census result"
"7","Vatican City","0.44","0.17","800","1,818","4,709","2012","Official estimate"
"8","Malta","315","122","426,149","1,353","3,504","March 21, 2016","Preliminary 2011 census result"
"9","Bermuda (UK)","52","20","66,449","1,278","3,310","March 21, 2016","Final 2010 census result"
"10","Bangladesh","143,998","55,598","161,581,338","1,122.11","2,906.25","December 12, 2016","Official population clock"
"11","Sint Maarten (Kingdom of the Netherlands)","34","13","37,429","1,101","2,852","January 1, 2010","Official estimate"
"12","Maldives","298","115","317,280","1,065","2,758","2010","Official estimate"
"13","Jersey (UK)","116","45","97,857","844","2,186","March 27, 2011","2011 census result"
"14","Guernsey (UK)","78","30","62,431","800","2,072","March 31, 2010","Official estimate"
"15","Palestinian Territories","6,020","2,324","4,550,368","756","1,958","2014","Official estimate"
"16","Saint Martin (France)","54","21","36,979","685","1,774","January 1, 2010","Official estimate"
"17","Taiwan (ROC)","36,197","13,976","23,526,295","650","1,683","October 31, 2016","Monthly official estimate"
"18","Barbados","430","166","274,200","638","1,652","July 1, 2010","Official estimate"
"19","Mauritius","2,040","788","1,262,879","619","1,603","July 1, 2015","Official estimate"
"20","Lebanon","10,452","4,036","5,988,153","587","1,520","July 1, 2014","UN projection"
"21","Mayotte (France)","374","144","212,600","568","1,471","August 21, 2012","2012 census result"
"22","San Marino","61","24","33,028","541","1,401","May 31, 2016","Monthly official estimate"
"23","Aruba (Kingdom of the Netherlands)","193","75","101,484","526","1,362","September 29, 2010","2010 census result"
"24","South Korea","100,210","38,691","50,801,405","507","1,313","July 1, 2016","Annual official estimate"
"25","Nauru","21","8","10,084","480","1,243","October 30, 2011","2011 census result"
"26","Rwanda","25,314","9,774","11,882,766","469","1,215","July 1, 2015","Annual official estimate"
"27","Tuvalu","26","10","11,323","436","1,129","July 1, 2013","Official estimate"
"28","Saint Barthélemy (France)","21","8","8,938","426","1,103","January 1, 2010","Official estimate"
"29","Comoros","1,861","719","784,745","422","1,093","July 1, 2015","Official estimate"
"30","Burundi","27,816","10,740","11,552,561","415","1,075","July 1, 2016","Official annual projection"
"31","Netherlands","41,526","16,033","17,069,944","411.07","1,064.66","December 12, 2016","Official population clock"
"32","Haiti","27,065","10,450","11,078,033","409","1,059","July 1, 2016","Official projection"
"33","India","3,287,240","1,269,211","1,309,112,657","398.24","1,031.44","December 12, 2016","Population clock based on 2011 census"
"34","Puerto Rico (US)","8,868","3,424","3,474,182","392","1,015","July 1, 2015","Official estimate"
"35","Israel","22,072","8,522","8,622,326","390.65","1,011.77","December 12, 2016","Official population clock"
"36","Belgium","30,528","11,787","11,342,835","372","963","October 1, 2016","Monthly official estimate"
"37","Philippines","300,000","115,831","103,451,205","344.84","893.12","December 12, 2016","Official population clock"
"38","Martinique (France)","1,128","436","385,551","342","886","July 1, 2013","Official estimate"
"39","Curaçao (Kingdom of the Netherlands)","444","171","150,563","339","878","March 26, 2011","2011 census result"
"40","Japan","377,944","145,925","126,950,000","336","870","November 1, 2016","Monthly official estimate"
"41","Réunion (France)","2,512","970","821,136","327","847","January 1, 2010","Official estimate"
"42","Sri Lanka","65,610","25,332","21,203,000","323","837","July 1, 2016","Official estimate"
"43","Marshall Islands","181","70","56,086","310","803","July 1, 2013","Official estimate"
"44","United States Virgin Islands (US)","352","136","106,405","302","782","April 1, 2010","Final 2010 census result"
"45","El Salvador","21,040","8,124","6,340,000","301","780","July 1, 2013","UN estimate"
"46","Grenada","344","133","103,328","300","777","May 12, 2011","2011 census result"
"47","Guam (US)","541","209","159,358","295","764","April 1, 2010","Final 2010 census result"
"48","American Samoa (US)","197","76","55,519","282","730","April 1, 2010","Final 2010 census result"
"49","Vietnam","331,212","127,882","92,700,000","280","725","July 1, 2016","Official estimate"
"50","Saint Lucia","617","238","166,526","270","699","May 10, 2010","Preliminary 2010 census result"
"51","United Kingdom","242,910","93,788","65,110,000","268","694","July 1, 2015","Annual official estimate"
"52","Saint Vincent and the Grenadines","389","150","100,892","259","671","July 1, 2009","Official estimate"
"53","Trinidad and Tobago","5,155","1,990","1,328,019","258","668","January 9, 2011","2011 census result"
"54","Jamaica","10,991","4,244","2,723,246","248","642","December 31, 2014","Official estimate"
"55","Guadeloupe (France)","1,630","629","402,119","247","640","July 1, 2013","Official estimate"
"56","Pakistan","803,940","310,403","195,064,368","242.64","628.42","December 12, 2016","Official population clock"
"57","Liechtenstein","160","62","36,842","230","596","December 31, 2012","Official estimate"
"58","Germany","357,168","137,903","82,175,700","230","596","December 31, 2015","Quarterly official estimate"
"59","Kuwait","17,818","6,880","4,007,000","225","583","July 1, 2016","Official estimate"
"60","Dominican Republic","47,875","18,485","10,528,000","220","570","July 1, 2015","UN Projection"
"61","Cayman Islands (UK)","259","100","55,456","214","554","October 10, 2010","Final 2010 census result"
"62","Luxembourg","2,586","998","537,000","208","539","December 31, 2012","Official estimate"
"63","Switzerland","41,285","15,940","8,364,100","203","526","June 30, 2016","Quarterly provisional figure"
"64","Nigeria","923,768","356,669","186,988,000","202","523","July 1, 2016","UN projection"
"65","Italy","301,308","116,336","60,592,547","201","521","June 30, 2016","Monthly official estimate"
"66","Seychelles","455","176","90,945","200","518","August 26, 2010","Final 2010 census result"
"67","North Korea","122,762","47,399","24,213,510","197","510","October 1, 2014","Preliminary 2014 census result"
"68","British Virgin Islands (UK)","151","58","29,537","196","508","2010","Official estimate"
"69","Antigua and Barbuda","442","171","86,295","195","505","May 27, 2011","Preliminary 2011 census result"
"70","Saint Kitts and Nevis","270","104","51,970","192","497","July 1, 2009","Official estimate"
"71","São Tomé and Príncipe","1,001","386","187,356","187","484","May 13, 2012","2012 census result"
"72","Nepal","147,181","56,827","26,494,504","180","466","June 22, 2011","Final 2011 census result"
"73","Qatar","11,571","4,468","2,024,707","175","453","October 31, 2013","Monthly official estimate"
"74","Gambia","10,690","4,127","1,849,000","173","448","July 1, 2013","UN estimate"
"75","Kosovo","10,910","4,212","1,815,606","166","430","December 31, 2012","Official estimate"
"76","Andorra","464","179","76,246","164","425","2012","Official estimate"
"77","Uganda","241,551","93,263","36,860,700","153","396","July 1, 2016","Annual official estimate"
"78","Isle of Man","572","221","84,497","148","383","March 27, 2011","2011 census result"
"79","Kiribati","726","280","106,461","147","381","July 1, 2013","Official estimate"
"80","Cyprus","5,896","2,276","862,000","146","378","December 31, 2011","Official estimate"
"81","Tonga","720","278","104,270","145","376","July 1, 2013","Official estimate"
"82","Federated States of Micronesia","701","271","101,351","145","376","July 1, 2013","Official estimate"
"83","Guatemala","108,889","42,042","15,806,675","145","376","June 30, 2014","Annual Official estimate"
"84","China","9,640,821","3,722,342","1,380,369,865","143.18","370.83","December 12, 2016","Official population clock"
"85","Tokelau (NZ)","10","4","1,411","141","365","October 18, 2011","Final 2011 census result"
"86","Anguilla (UK)","96","37","13,452","140","363","May 11, 2011","Preliminary 2011 census result"
"87","Indonesia","1,904,569","735,358","260,581,000","137","355","July 1, 2016","Official projection"
"88","Czech Republic","78,867","30,451","10,564,866","134","347","June 30, 2016","Quarterly official estimate"
"89","Denmark","43,098","16,640","5,639,719","131","339","October 1, 2014","Quarterly official estimate"
"90","Thailand","513,120","198,117","65,729,098","128","332","December 31, 2015","Official estimate"
"91","Togo","56,600","21,853","7,143,000","126","326","July 1, 2016","Official estimate"
"92","Poland","312,685","120,728","38,496,000","123","319","December 31, 2013","Official estimate"
"93","Cape Verde","4,033","1,557","491,875","122","316","June 16, 2010","Final 2010 census result"
"94","Malawi","118,484","45,747","14,388,600","121","313","July 1, 2011","Official estimate"
"95","Ghana","238,533","92,098","28,308,301","119","308","October 26, 2016","Official projection"
"96","Northern Mariana Islands (US)","457","176","53,883","118","306","April 1, 2010","Final 2010 census result"
"97","France","543,965","210,026","66,821,000","118","306","October 1, 2016","Monthly official estimate"
"98","United Arab Emirates","83,600","32,278","9,856,000","118","306","July 1, 2016","Official estimate"
"99","Azerbaijan","86,600","33,436","9,755,500","113","293","July 1, 2016","Official estimate"
"100","Portugal","92,090","35,556","10,341,330","112","290","December 31, 2015","Official estimate"
"101","Slovakia","49,036","18,933","5,426,252","111","287","December 31, 2015","Official estimate"
"102","Jordan","89,342","34,495","9,779,415","109.46","283.5","December 12, 2016","Official population clock"
"103","Hungary","93,029","35,919","9,830,485","106","275","January 1, 2016","Annual official estimate"
"104","Moldova","33,843","13,067","3,553,100","105","272","January 1, 2016","Official estimate"
"105","Austria","83,879","32,386","8,767,919","105","272","October 1, 2016","Official quarterly estimate"
"106","Cuba","109,886","42,427","11,239,004","102","264","December 31, 2015","Annual official estimate"
"107","Slovenia","20,273","7,827","2,064,241","102","264","July 1, 2016","Official quarterly estimate"
"108","Armenia","29,743","11,484","2,995,100","101","262","30 June, 2016","Official estimate"
"109","Albania","28,703","11,082","2,886,026","101","262","January 1, 2016","Official annual estimate"
"110","Turkey","783,562","302,535","78,741,053","100","259","December 31, 2015","Official estimate"
"111","Syria","185,180","71,498","18,564,000","100","259","July 1, 2016","UN estimate"
"112","Sierra Leone","71,740","27,699","7,075,641","99","256","December 4, 2015","Preliminary 2015 census result"
"113","Dominica","739","285","71,293","96","249","May 14, 2011","Preliminary 2011 census result"
"114","Ethiopia","1,063,652","410,678","101,853,000","96","249","July 1, 2016","UN projection"
"115","Costa Rica","51,100","19,730","4,890,379","96","249","June 30, 2016","Official estimate"
"116","Benin","112,622","43,484","10,653,654","95","246","July 1, 2016","Official projection"
"117","Malaysia","330,803","127,724","31,440,000","95","246","December 12, 2016","Official population clock"
"118","Northern Cyprus","3,355","1,295","313,626","93","241","2014","Official estimate"
"119","Spain","505,990","195,364","46,438,422","92","238","January 1, 2016","Official estimate"
"120","Egypt","1,002,450","387,048","92,102,378","91.88","237.96","December 12, 2016","Official population clock"
"121","Serbia","77,474","29,913","7,076,372","91","236","January 1, 2016","Official estimate"
"122","Cambodia","181,035","69,898","15,626,444","86","223","July 1, 2016","Official annual projection"
"123","Iraq","434,128","167,618","36,787,000","85","220","July 1, 2016","Annual official projection"
"124","Romania","238,391","92,043","19,760,000","83","215","January 1,2016","Official annual estimate"
"125","Greece","131,957","50,949","10,858,018","82","212","January 1, 2015","Official estimate"
"126","Kenya","581,834","224,647","47,251,449","81","210","July 1, 2016","UN projection"
"127","Macedonia","25,713","9,928","2,071,278","81","210","December 31, 2015","Official estimate"
"128","Myanmar","676,577","261,228","54,363,426","80","207","March 29, 2014","Preliminary 2014 census result"
"129","Honduras","112,492","43,433","8,721,014","78","202","July 1, 2016","Official projection"
"130","Morocco","446,550","172,414","34,167,049","76.51","198.17","December 12, 2016","Official population clock"
"131","French Polynesia (France)","3,521","1,359","268,270","76","197","August 22, 2012","Preliminary 2012 census result"
"132","Senegal","196,722","75,955","14,799,859","75","194","2016","Official estimate"
"133","Croatia","56,542","21,831","4,190,669","74","192","December 31, 2015","Annual official estimate"
"134","Ukraine","576,500","222,588","42,642,434","74","192","September 1, 2016","Monthly official estimate"
"135","Ivory Coast","322,921","124,680","23,202,000","72","186","2012","Official estimate"
"136","Swaziland","17,364","6,704","1,250,000","72","186","July 1, 2013","UN estimate"
"137","Timor-Leste","14,919","5,760","1,066,409","71","184","July 11, 2010","Final 2010 census result"
"138","Bosnia and Herzegovina","51,209","19,772","3,531,159","69","179","September 30, 2013","Official estimate"
"139","Uzbekistan","444,103","171,469","30,492,800","69","179","January 1, 2014","Official estimate"
"140","Lesotho","30,355","11,720","2,074,000","68","176","July 1, 2013","UN estimate"
"141","Brunei","5,765","2,226","393,162","68","176","June 20, 2011","Preliminary 2011 census result"
"142","Ireland","70,273","27,133","4,757,976","68","176","April 2016","Official census figures"
"143","Samoa","2,831","1,093","187,820","66","171","November 7, 2011","Final 2011 census result"
"144","Tunisia","163,610","63,170","10,777,500","66","171","July 1, 2012","Official estimate"
"145","Caribbean Netherlands (Netherlands)","322","124","21,133","66","171","January 1, 2011","Official estimate"
"146","Norfolk Island (Australia)","35","14","2,302","66","171","August 9, 2011","2011 census result"
"147","Burkina Faso","270,764","104,543","17,322,796","64","166","2013","Official estimate"
"148","Ecuador","255,595","98,686","16,394,900","64","166","December 12, 2016","Official population clock"
"149","Bulgaria","111,002","42,858","7,153,784","64","166","December 31, 2015",""
"150","Turks and Caicos Islands (UK)","497","192","31,458","63","163","January 25, 2012","2012 census result"
"151","Cook Islands (NZ)","237","92","14,974","63","163","December 1, 2011","Final 2011 census result"
"152","Mexico","1,967,138","759,516","122,273,473","62","161","July 1, 2016","Official estimate"
"153","Tanzania","883,749","341,217","55,155,473","62","161","August 26, 2012","2012 census result"
"154","Tajikistan","143,100","55,251","8,551,000","60","155","January 1, 2016","Official estimate"
"155","Equatorial Guinea","28,051","10,831","1,622,000","58","150","2010","Official estimate"
"156","Yemen","455,000","175,676","24,527,000","54","140","2012","Official estimate"
"157","Georgia","69,700","26,911","3,720,400","53","137","January 1, 2016","Official estimate"
"158","Eritrea","121,100","46,757","6,333,000","52","135","July 1, 2013","UN estimate"
"159","Nicaragua","121,428","46,884","6,071,045","50","129","June 30, 2012","Official estimate"
"160","Iran","1,648,195","636,372","79,752,675","48.39","125.32","December 12, 2016","Official population clock"
"161","Montserrat (UK)","102","39","4,922","48","124","May 12, 2011","2011 census result"
"162","Wallis and Futuna (France)","274","106","13,135","48","124","July 1, 2013","Official estimate"
"163","Fiji","18,333","7,078","858,038","47","122","July 1, 2012","Official estimate"
"164","Panama","74,177","28,640","3,405,813","46","119","May 16, 2010","Final 2010 census result"
"165","Belarus","207,600","80,155","9,469,200","46","119","July 1, 2014","Quarterly official estimate"
"166","Lithuania","65,300","25,212","2,944,459","45","117","January 1, 2014","Monthly official estimate"
"167","Montenegro","13,812","5,333","620,029","45","117","April 1, 2011","Final 2011 census result"
"168","Cameroon","466,050","179,943","20,386,799","44","114","2012","Official estimate"
"169","Colombia","1,141,748","440,831","48,965,362","42.89","111.08","December 12, 2016","Official population clock"
"170","Guinea","245,857","94,926","10,628,972","43","111","2015","Official estimate"
"171","South Africa","1,220,813","471,359","52,981,991","43","111","July 1, 2013","Official estimate"
"172","Palau","488","188","20,901","43","111","July 1, 2013","Official estimate"
"173","Guinea-Bissau","36,125","13,948","1,547,777","43","111","July 1, 2016","Official estimate"
"174","Liberia","97,036","37,466","4,076,530","42","109","July 1, 2016","Official projection"
"175","Afghanistan","645,807","249,347","25,500,100","39","101","January 1, 2013","Official estimate"
"176","Cocos (Keeling) Islands (Australia)","14","5","550","39","101","August 9, 2011","2011 census result"
"177","Djibouti","23,000","8,880","864,618","38","98","July 1, 2011","Official estimate"
"178","Democratic Republic of the Congo","2,345,095","905,446","85,026,000","36","93","July 1, 2016","Official estimate"
"179","Madagascar","587,041","226,658","20,696,070","35","91","2011","Official estimate"
"180","Saint Helena (UK)","122","47","4,255","35","91","February 10, 2008","Preliminary 2008 census result"
"181","Faroe Islands (Denmark)","1,399","540","48,244","34","88","April 1, 2013","Monthly official estimate"
"182","United States","9,833,517","3,796,742","325,127,469","33.06","85.63","December 12, 2016","Official population clock"
"183","Zimbabwe","390,757","150,872","12,973,808","33","85","August 17, 2012","Preliminary 2012 census result"
"184","Venezuela","916,445","353,841","28,946,101","32","83","October 30, 2011","Preliminary 2011 census result"
"185","Latvia","64,562","24,928","2,005,200","31","80","January 1, 2014","Monthly official estimate"
"186","Mozambique","799,380","308,642","23,700,715","30","78","2012","Official estimate"
"187","Kyrgyzstan","199,945","77,199","5,895,100","29","75","2015","Official estimate"
"188","Estonia","45,339","17,505","1,313,271","29","75","January 1, 2015","Official estimate"
"189","Laos","236,800","91,429","6,580,800","28","73","2013","Official estimate"
"190","Bahamas","13,940","5,382","351,461","25","65","May 3, 2010","Final 2010 census result"
"191","Saint Pierre and Miquelon (France)","242","93","6,081","25","65","January 1, 2010","Official estimate"
"192","Brazil","8,515,767","3,287,956","202,768,562","24","62","July 1, 2014","Official estimate"
"193","Peru","1,285,216","496,225","30,475,144","24","62","June 30, 2013","Official estimate"
"194","Chile","756,096","291,930","16,634,603","22","57","April 9, 2012","Final 2012 census result"
"195","Vanuatu","12,190","4,707","264,652","22","57","July 1, 2013","Official estimate"
"196","Sweden","449,964","173,732","9,884,285","22","57","April 30, 2016","Monthly official estimate"
"197","Bhutan","38,394","14,824","781,236","20","53","December 12, 2016","Official population clock"
"198","Uruguay","176,215","68,037","3,286,314","19","49","September 30, 2011","Final 2011 census result"
"199","Åland Islands (Finland)","1,552","599","28,502","18","47","December 31, 2012","Official estimate"
"200","Solomon Islands","28,370","10,954","515,870","18","47","November 23, 2009","2009 census result"
"201","South Sudan","644,329","248,777","11,296,000","18","47","July 1, 2013","UN estimate"
"202","New Zealand","270,467","104,428","4,740,205","17.53","45.39","December 12, 2016","Official population clock"
"203","Zambia","752,612","290,585","13,092,666","17","44","October 16, 2010","Final 2010 census result"
"204","Sudan","1,839,542","710,251","30,894,000","17","44","April 22, 2008","2008 census result"
"205","Angola","1,246,700","481,354","20,609,294","17","44","2012","Official estimate"
"206","Finland","338,424","130,666","5,489,057","16","41","October 13, 2015","Official population clock"
"207","Paraguay","406,752","157,048","6,672,631","16","41","2012","Official estimate"
"208","Algeria","2,381,741","919,595","38,700,000","16","41","January 1, 2014","Official estimate"
"209","Norway","323,782","125,013","5,189,435","16","41","November 13, 2015","Quarterly official estimate"
"210","Papua New Guinea","462,840","178,704","7,398,500","16","41","July 1, 2013","Annual official estimate"
"211","Christmas Island (Australia)","137","53","2,072","15","39","August 9, 2011","2011 census result"
"212","Somalia","637,657","246,201","9,331,000","15","39","July 1, 2010","Official estimate"
"213","Niger","1,186,408","458,075","17,129,076","14","36","December 10, 2012","Preliminary 2012 census result"
"214","Argentina","2,780,400","1,073,518","40,117,096","14","36","October 27, 2010","Final 2010 census result"
"215","Belize","22,965","8,867","324,528","14","36","May 12, 2010","Final 2010 census result"
"216","Saudi Arabia","2,149,690","830,000","29,994,272","14","36","2013","Annual official estimate"
"217","New Caledonia (France)","18,575","7,172","258,958","14","36","July 1, 2013","Official estimate"
"218","Oman","309,500","119,499","4,183,841","14","36","June 9, 2015","Weekly official estimate"
"219","Republic of the Congo","342,000","132,047","4,448,000","13","34","July 1, 2013","UN estimate"
"220","Mali","1,248,574","482,077","14,528,662","12","31","April 1, 2009","Final 2009 census result"
"221","Turkmenistan","491,210","189,657","5,240,000","11","28","July 1, 2013","UN estimate"
"222","Ascension Island (UK)","88","34","880","10","26","February 10, 2008","Preliminary 2008 census result"
"223","Bolivia","1,098,581","424,164","10,389,913","9","23","November 21, 2012","Preliminary 2012 census result"
"224","Chad","1,284,000","495,755","11,274,106","9","23","May 20, 2009","Preliminary 2009 census result"
"225","Russia","17,098,242","6,601,668","143,975,923","8","21","January 1, 2015","Official estimate"
"226","Central African Republic","622,436","240,324","4,616,000","7","18","July 1, 2013","UN estimate"
"227","Gabon","267,667","103,347","1,672,000","6","16","July 1, 2013","UN estimate"
"228","Kazakhstan","2,724,900","1,052,090","17,186,000","6","16","February 1, 2014","Monthly official estimate"
"229","Niue (NZ)","261","101","1,613","6","16","September 10, 2011","Final 2011 census result"
"230","Guyana","214,999","83,012","784,894","4","10","2010","Official estimate"
"231","Libya","1,770,060","683,424","6,244,174","4","10","July 1, 2013","UN estimate"
"232","Canada","9,984,670","3,855,103","36,388,966","3.64","9.44","December 12, 2016","Official estimate"
"233","Australia","7,692,024","2,969,907","24,298,852","3.16","8.18","December 12, 2016","Official estimate"
"234","Botswana","581,730","224,607","2,024,904","3","8","August 22, 2011","Final 2011 census result"
"235","Mauritania","1,030,700","397,955","3,461,041","3","8","2013","Official estimate"
"236","Suriname","163,820","63,251","534,189","3","8","August 13, 2012","Preliminary 2012 census result"
"237","Iceland","102,775","39,682","332,529","3","8","January 1, 2016","Official estimate"
"238","French Guiana (France)","86,504","33,399","244,118","3","8","July 1, 2013","Official estimate"
"239","Namibia","825,118","318,580","2,113,077","3","8","August 28, 2011","Final 2011 census result"
"240","Western Sahara","252,120","97,344","567,000","2","5","July 1, 2013","UN estimate"
"241","Mongolia","1,564,100","603,902","3,000,000","2","5","January 24, 2015","Official estimate"
"242","Tristan da Cunha (UK)","207","80","266","1","3","February 10, 2008","Preliminary 2008 census result"
"243","Pitcairn Islands (UK)","47","18","56","1","3","2013","2013 census result"
"244","Falkland Islands (UK)","12,173","4,700","2,563","0","0","April 15, 2012","2012 census result"
"245","Svalbard and Jan Mayen (Norway)","61,399","23,706","2,655","0","0","September 1, 2012","Official estimate"
"246","Greenland (Denmark)","2,166,000","836,297","55,984","0","0","January 1, 2015","Official estimate"
"Pos.","Country (or dependent territory)","Area (km2)","Area (mi2)","Population","Density (pop./km2)","Density (pop./mi2)","Date","Population source"
